,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
466,Warangal,IN,18.0,79.5833,89.62,51,94,17.29,overcast clouds
467,Bouca,CF,6.5105,18.2733,75.06,87,96,4.5,light rain
468,Ust-Tsilma,RU,65.441,52.1498,50.58,66,100,8.93,overcast clouds
469,New Waterford,US,40.8451,-80.6145,68.9,94,0,1.25,clear sky
470,Laurel,US,39.0993,-76.8483,77.09,82,1,3.0,clear sky
471,Tres Arroyos,AR,-38.3739,-60.2798,40.55,77,99,16.46,overcast clouds
472,Siderno,IT,38.2779,16.302,93.15,39,0,3.11,clear sky
473,Ongandjera,NA,-17.8833,15.0667,61.2,27,0,9.86,clear sky
474,Linguere,SN,15.3953,-15.1193,77.32,74,100,9.69,overcast clouds
475,Serebryansk,KZ,49.6925,83.2892,74.75,39,1,11.74,clear sky
476,Astorga,BR,-23.2325,-51.6656,48.6,66,100,12.59,overcast clouds
477,Wanxian,CN,30.8039,108.3897,91.62,62,58,1.52,light rain
478,Walvis Bay,NA,-22.9575,14.5053,65.46,50,0,8.57,clear sky
479,Srednekolymsk,RU,67.45,153.6833,37.58,97,100,9.37,light rain
480,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,58.73,26,100,8.72,overcast clouds
481,Shar,KZ,49.5886,81.0453,76.19,24,0,14.97,clear sky
482,Tigao,PH,9.2089,126.1761,85.19,73,99,5.57,overcast clouds
483,Tahe,CN,52.3333,124.7333,75.45,59,62,7.29,broken clouds
484,Alice Springs,AU,-23.7,133.8833,76.55,21,66,11.99,broken clouds
485,Takoradi,GH,4.8845,-1.7554,76.98,77,99,8.32,overcast clouds
486,Muravlenko,RU,63.7898,74.523,51.26,78,96,11.23,light rain
487,Svetlyy,RU,54.675,20.1347,77.05,63,85,6.85,overcast clouds
488,Palana,RU,59.1167,159.9667,47.62,92,97,3.98,overcast clouds
489,Nuevitas,CU,21.5453,-77.2644,78.24,90,22,5.95,few clouds
490,Khani,GE,41.9563,42.9566,74.77,78,38,3.91,scattered clouds
491,Pemangkat,ID,1.1667,108.9667,85.98,71,41,16.33,scattered clouds
492,Mopti,ML,14.6667,-4.0,83.37,65,69,9.33,broken clouds
493,Dolores,AR,-36.3132,-57.6792,38.84,85,45,13.42,scattered clouds
494,Uthal,PK,25.8072,66.6219,91.2,60,100,12.33,overcast clouds
495,Sonari,IN,27.0667,95.0333,94.84,61,37,2.91,scattered clouds
496,Tabatinga,BR,-4.2525,-69.9381,71.69,100,20,2.3,few clouds
497,Havelock,US,34.8791,-76.9013,82.38,93,100,4.72,overcast clouds
498,Gouyave,GD,12.1646,-61.7296,79.56,74,59,12.03,broken clouds
499,Nouadhibou,MR,20.931,-17.0347,67.05,92,41,20.11,scattered clouds
500,Rancho Palos Verdes,US,33.7445,-118.387,75.06,90,0,3.0,clear sky
501,Iqaluit,CA,63.7506,-68.5145,41.7,75,100,5.01,overcast clouds
502,Adrar,MR,20.5022,-10.0711,85.93,35,25,14.56,scattered clouds
503,Uyskoye,RU,54.3775,60.0047,63.07,58,91,9.51,overcast clouds
504,Iglesias,IT,39.3114,8.535,83.62,22,0,6.91,clear sky
505,Itzehoe,DE,53.921,9.5153,69.28,78,53,12.15,broken clouds
506,Ilinskoye-Khovanskoye,RU,56.9718,39.7684,72.73,45,55,7.58,broken clouds
507,Tagusao,PH,9.1924,117.8141,87.03,67,90,18.16,overcast clouds
508,Shimoda,JP,34.6667,138.95,84.11,76,16,13.56,few clouds
509,Hanzhong,CN,33.0728,107.0303,88.29,55,7,2.62,clear sky
510,Caconda,AO,-13.7333,15.0667,65.28,21,13,7.52,few clouds
511,Longonjo,AO,-12.9067,15.2533,68.95,21,10,2.98,clear sky
512,Charlottesville,US,38.0293,-78.4767,73.22,89,1,1.01,clear sky
513,Paldiski,EE,59.3567,24.0531,73.35,88,90,10.36,overcast clouds
514,Kamaishi,JP,39.2667,141.8833,74.61,94,100,4.7,overcast clouds
515,Kavaratti,IN,10.5669,72.642,82.18,79,100,18.16,overcast clouds
516,Marystown,CA,47.1666,-55.1483,64.85,100,99,6.31,overcast clouds
517,Hambantota,LK,6.1241,81.1185,88.02,63,100,23.11,overcast clouds
518,Yongan,CN,39.6957,113.6871,78.37,59,100,8.52,overcast clouds
519,Ewa Beach,US,21.3156,-158.0072,78.75,68,75,13.0,broken clouds
520,Serafimovskiy,RU,54.4241,53.7964,68.29,34,2,11.18,clear sky
521,Anadyr,RU,64.75,177.4833,48.0,100,100,13.0,light rain
522,Diffa,NE,13.3154,12.6113,76.08,83,100,9.89,overcast clouds
523,Ossora,RU,59.2353,163.0719,59.5,72,98,3.94,light rain
524,Ostrovnoy,RU,68.0531,39.5131,47.21,87,99,12.15,overcast clouds
525,Lisieux,FR,49.1667,0.1667,62.46,77,13,14.34,few clouds
526,Mataram,ID,-8.5833,116.1167,85.01,61,5,12.48,clear sky
527,Adre,TD,13.4667,22.2,74.68,78,99,6.22,overcast clouds
528,Nsukka,NG,6.8561,7.3927,72.1,82,100,5.3,overcast clouds
529,Haines Junction,CA,60.7522,-137.5108,46.8,95,87,4.72,overcast clouds
530,Naze,JP,28.3667,129.4833,78.66,86,100,12.59,overcast clouds
531,Edson,CA,53.5835,-116.4356,52.83,86,11,0.25,few clouds
532,Ambatondrazaka,MG,-17.8333,48.4167,67.24,50,0,5.28,clear sky
533,Vangaindrano,MG,-23.35,47.6,70.56,80,60,11.43,light rain
534,Misratah,LY,32.3754,15.0925,81.99,55,0,5.95,clear sky
535,Rudbar,AF,30.15,62.6,100.81,10,100,25.34,overcast clouds
536,Raga,SS,8.4596,25.678,72.59,94,96,4.12,light rain
537,Asyut,EG,27.181,31.1837,94.44,19,18,17.54,few clouds
538,Yuzhno-Kurilsk,RU,44.0306,145.8556,68.2,92,37,7.76,scattered clouds
539,Korla,CN,41.7597,86.1469,102.18,10,3,7.94,clear sky
540,Ostersund,SE,63.1792,14.6357,68.45,60,75,3.44,broken clouds
541,Port-Gentil,GA,-0.7193,8.7815,75.27,82,93,7.99,overcast clouds
542,Tacoronte,ES,28.4769,-16.4102,71.4,74,75,17.0,fog
543,Chihuahua,MX,28.5,-106.0,78.78,28,97,9.08,overcast clouds
544,Nawa,IN,27.0167,75.0,86.38,66,100,12.06,heavy intensity rain
545,Iracoubo,GF,5.4802,-53.2011,76.98,86,27,7.56,scattered clouds
546,Estevan,CA,49.1334,-102.9842,70.14,38,99,8.32,overcast clouds
547,Aksu,CN,41.1231,80.2644,100.36,14,57,7.94,broken clouds
548,Lucea,JM,18.451,-78.1736,80.46,81,99,8.39,overcast clouds
549,Teguise,ES,29.0605,-13.564,68.22,78,75,12.66,broken clouds
550,Bilibino,RU,68.0546,166.4372,43.52,70,97,3.74,overcast clouds
551,Nuevo Progreso,MX,23.1667,-97.95,77.59,87,72,2.75,broken clouds
552,Ulladulla,AU,-35.35,150.4667,63.88,60,50,12.88,scattered clouds
553,Ciudad Bolivar,VE,8.1222,-63.5497,73.96,95,78,4.09,broken clouds
554,Bira,RU,49.0,132.4667,85.03,69,57,8.5,moderate rain
555,Sabha,LY,27.0377,14.4283,91.96,16,0,12.93,clear sky
556,Hami,CN,42.8,93.45,102.27,10,10,6.55,clear sky
557,Saint-Pierre,RE,-21.3393,55.4781,69.3,76,100,10.0,moderate rain
558,Alyangula,AU,-13.8483,136.4192,77.13,74,7,5.99,clear sky
559,Tarazona,ES,41.9,-1.7333,70.54,61,0,8.21,clear sky
560,Bodaybo,RU,57.8506,114.1933,84.58,45,92,6.55,overcast clouds
561,Awjilah,LY,29.1081,21.2869,91.74,25,0,6.44,clear sky
562,Nabire,ID,-3.3667,135.4833,82.45,80,100,4.03,overcast clouds
563,Safford,US,32.834,-109.7076,78.12,88,1,6.91,clear sky
564,Linxia,CN,35.6003,103.2064,79.59,28,65,2.93,broken clouds
565,Omsukchan,RU,62.5333,155.8,45.75,72,99,7.45,light rain
566,Salalah,OM,17.0151,54.0924,82.49,83,75,12.66,broken clouds
567,Diapaga,BF,12.0708,1.7889,75.11,87,100,7.2,overcast clouds
568,Taksimo,RU,56.3444,114.8794,75.15,55,100,6.55,light rain
569,Venafro,IT,41.4834,14.0451,91.22,18,72,6.22,broken clouds
570,Batagay,RU,67.6333,134.6333,63.16,36,13,14.76,few clouds
571,Bharatpur,IN,27.2167,77.4833,88.36,67,100,5.64,moderate rain
572,Khandyga,RU,62.6667,135.6,68.11,41,9,12.93,clear sky
573,Urumqi,CN,43.801,87.6005,90.55,22,0,8.95,clear sky
574,Chabahar,IR,25.2919,60.643,88.54,72,61,14.81,broken clouds
575,Geraldton,AU,-28.7667,114.6,63.12,88,90,13.8,overcast clouds
576,Lata,PT,40.1629,-8.3327,69.04,63,1,4.97,clear sky
577,Owando,CG,-0.4819,15.8999,86.81,38,80,4.23,broken clouds
578,Sri Aman,MY,1.2376,111.4621,95.29,42,37,3.2,scattered clouds
579,Quelimane,MZ,-17.8786,36.8883,71.55,78,75,4.61,light rain
580,Suchedniow,PL,51.0478,20.8292,85.77,53,68,4.9,broken clouds
581,Port Macquarie,AU,-31.4333,152.9167,71.56,53,4,7.18,clear sky
582,Pontianak,ID,-0.0333,109.3333,89.58,66,40,6.91,scattered clouds
583,Sursk,RU,53.0754,45.6846,77.45,44,8,5.66,clear sky
584,Coos Bay,US,43.3665,-124.2179,70.86,90,90,4.61,mist
585,Vrangel,RU,42.7297,133.0839,76.75,81,94,6.04,overcast clouds
586,Neftcala,AZ,39.3742,49.2472,80.31,60,99,34.85,overcast clouds
587,Anshun,CN,26.25,105.9333,81.18,59,68,6.13,moderate rain
588,Kolar,IN,13.1333,78.1333,83.44,48,100,21.97,overcast clouds
589,Balabac,PH,7.9868,117.0645,86.18,74,100,15.35,overcast clouds
590,Upanema,BR,-5.6419,-37.2578,71.47,83,37,4.85,scattered clouds
591,Faya,SA,18.3851,42.4509,73.92,57,58,4.92,broken clouds
592,Agadez,NE,19.75,10.25,91.02,35,6,4.03,clear sky
593,Floriano,BR,-6.7669,-43.0225,77.18,49,94,7.45,overcast clouds
594,Taoudenni,ML,22.6783,-3.9836,98.06,19,100,10.54,overcast clouds
595,Tura,IN,25.5198,90.2201,85.59,75,59,6.02,broken clouds
596,Novyy Urengoy,RU,66.0833,76.6333,63.55,53,100,10.49,overcast clouds
597,Merzifon,TR,40.8733,35.4631,78.26,36,20,18.41,few clouds
598,Buraydah,SA,26.326,43.975,109.38,10,46,16.93,scattered clouds
599,Meadow Lake,US,34.8014,-106.5436,71.08,81,69,2.66,broken clouds
600,Iroquois Falls,CA,48.7669,-80.6831,49.32,80,12,3.89,few clouds
601,Tanhacu,BR,-14.0214,-41.2481,64.38,86,5,3.98,clear sky
602,Praia,CV,14.9215,-23.5087,75.74,78,75,8.05,broken clouds
603,Mangrol,IN,21.1167,70.1167,82.53,83,100,25.57,overcast clouds
604,Sandwick,GB,60.0,-1.25,55.22,94,90,12.66,overcast clouds
605,Yaguajay,CU,22.3272,-79.2378,76.98,89,2,4.94,clear sky
606,Leirvik,NO,59.7798,5.5005,67.86,94,40,4.61,scattered clouds
607,Springville,US,40.1652,-111.6107,76.98,57,1,9.22,clear sky
608,Domoni,KM,-12.2569,44.5319,77.58,69,54,11.25,broken clouds
609,Santa Maria,BR,-29.6842,-53.8069,37.4,71,0,7.56,clear sky
610,Ankang,CN,32.68,109.0172,92.01,51,28,2.89,scattered clouds
611,Kathmandu,NP,27.7167,85.3167,80.82,69,75,9.22,broken clouds
612,Shillong,IN,25.5689,91.8831,76.23,79,83,3.8,light rain
613,Shieli,KZ,44.1667,66.75,93.49,11,0,14.43,clear sky
614,Gopalganj,IN,26.4667,84.4333,92.08,61,69,4.03,broken clouds
615,Chicama,PE,-7.8447,-79.1469,64.36,92,55,5.88,broken clouds
616,Koungou,YT,-12.7336,45.2042,80.31,65,0,16.11,clear sky
617,Polunochnoye,RU,60.8697,60.4153,49.23,69,100,11.05,overcast clouds
618,San Cristobal,VE,7.7669,-72.225,63.95,91,13,1.19,few clouds
619,Coahuayana,MX,18.7333,-103.6833,76.3,94,99,3.71,overcast clouds
620,Sola,VU,-13.8833,167.55,79.45,79,41,22.64,scattered clouds
621,Quatre Cocos,MU,-20.2078,57.7625,67.08,81,99,22.64,light rain
622,Madikeri,IN,12.4167,75.7333,70.47,80,100,8.05,light rain
623,Pahrump,US,36.2083,-115.9839,87.1,28,91,3.33,overcast clouds
624,Bazaliya,UA,49.7127,26.4733,78.58,60,9,5.1,clear sky
625,Laguna,US,38.421,-121.4238,77.94,55,1,1.01,clear sky
626,Chifeng,CN,42.2683,118.9636,78.1,67,100,2.39,overcast clouds
627,Mezen,RU,65.8522,44.24,51.04,95,100,7.76,overcast clouds
628,Sept-Iles,CA,50.2001,-66.3821,55.06,78,85,1.99,overcast clouds
629,Conceicao Do Araguaia,BR,-8.2578,-49.2647,66.06,50,0,4.09,clear sky
630,Kholmogory,RU,64.2229,41.656,66.31,40,100,9.19,light rain
631,Brigantine,US,39.4101,-74.3646,75.25,92,40,0.0,mist
632,Neiafu,TO,-18.65,-173.9833,72.52,84,100,18.21,light rain
633,Sioux Lookout,CA,50.1001,-91.917,59.76,67,68,5.68,broken clouds
634,Artyom,AZ,40.4723,50.333,75.34,74,100,35.59,overcast clouds
635,Tecoanapa,MX,16.5167,-98.75,77.81,80,76,5.01,broken clouds
636,Tilichiki,RU,60.4667,166.1,57.52,61,96,14.76,overcast clouds
637,Sanchor,IN,24.7553,71.7722,87.96,66,100,24.05,overcast clouds
638,Chumikan,RU,54.7183,135.315,69.01,68,11,8.03,few clouds
639,Douglas,US,41.3,-96.167,80.47,88,1,1.01,clear sky
640,Suluq,LY,31.6682,20.2521,87.21,23,0,2.06,clear sky
641,Qandala,SO,11.472,49.8728,92.25,43,95,6.38,overcast clouds
642,Kropotkin,RU,45.4375,40.5756,82.74,36,0,7.87,clear sky
643,Komyshnya,UA,50.1859,33.684,86.23,33,96,12.37,light rain
644,Fare,PF,-16.7,-151.0167,78.75,69,40,6.69,scattered clouds
645,Wattegama,LK,6.7989,81.4808,99.01,32,100,4.97,overcast clouds
646,Penaranda,PH,15.3333,121.0167,81.18,86,100,9.26,moderate rain
647,Tokmak,UA,47.2514,35.7058,85.35,42,0,9.19,clear sky
648,Wajima,JP,37.4,136.9,81.05,73,15,5.5,few clouds
649,Gemena,CD,3.25,19.7667,75.83,75,99,3.6,overcast clouds
650,Kendari,ID,-3.945,122.4989,82.51,75,75,4.76,broken clouds
651,Waw,SS,7.7029,27.9953,75.27,90,98,3.6,light rain
652,Yozgat,TR,39.5833,35.3333,73.4,35,0,21.74,clear sky
653,Maarianhamina,AX,60.0973,19.9348,66.06,94,75,5.75,heavy intensity shower rain
654,Kysyl-Syr,RU,63.8986,122.7617,77.67,38,0,7.36,clear sky
655,Bonavista,CA,48.6499,-53.1147,65.12,97,97,14.83,overcast clouds
656,Jutai,BR,-5.1833,-68.9,72.12,93,70,1.81,broken clouds
657,Almaznyy,RU,48.0448,40.045,80.74,32,0,2.57,clear sky
658,Sur,OM,22.5667,59.5289,100.22,41,68,3.51,broken clouds
659,Kumluca,TR,36.3703,30.2869,93.63,32,0,1.95,clear sky
660,Back Mountain,US,41.3359,-75.9963,65.34,97,3,2.77,clear sky
661,Damietta,EG,31.4165,31.8133,86.94,53,0,9.06,clear sky
662,Zaysan,KZ,47.4667,84.8667,80.44,19,0,18.54,clear sky
663,Erdemli,TR,36.605,34.3084,90.46,45,0,10.16,clear sky
664,Beringovskiy,RU,63.05,179.3167,46.63,86,100,21.77,overcast clouds
665,Newport,GB,51.5877,-2.9984,64.02,91,100,14.61,moderate rain
666,Kahului,US,20.8947,-156.47,77.85,89,40,17.27,scattered clouds
667,Athabasca,CA,54.7169,-113.2854,52.79,72,8,2.42,clear sky
668,Georgiyevskoye,RU,58.731,45.024,69.44,35,38,5.3,scattered clouds
669,Iacu,BR,-12.7672,-40.2117,64.24,95,8,1.79,clear sky
670,Ibra,OM,22.6906,58.5334,101.43,26,92,19.53,overcast clouds
671,Locri,IT,38.2414,16.2623,93.11,37,0,3.36,clear sky
672,Luau,AO,-10.7073,22.2247,72.61,25,47,5.75,scattered clouds
673,Goianesia,BR,-15.3175,-49.1175,64.24,47,1,2.73,clear sky
674,Lexington Park,US,38.2668,-76.4538,78.66,95,1,3.44,haze
675,Mahibadhoo,MV,3.7833,72.9667,82.69,72,100,7.99,overcast clouds
676,Revelstoke,CA,50.9832,-118.2023,64.22,57,0,1.99,clear sky
677,Newark,US,40.7357,-74.1724,72.25,88,90,0.0,overcast clouds
678,Vysokovsk,RU,56.3167,36.55,69.66,87,100,7.09,light rain
679,Shelburne,CA,44.0787,-80.2041,60.85,85,11,3.56,few clouds
680,Qasigiannguit,GL,68.8193,-51.1922,48.45,83,100,0.94,overcast clouds
681,Podgornoye,RU,51.735,39.1496,82.62,32,0,4.47,clear sky
682,Suntar,RU,62.1444,117.6319,86.41,37,4,6.78,clear sky
683,Macas,EC,-2.3167,-78.1167,62.76,96,55,3.29,broken clouds
684,Arica,CL,-18.475,-70.3042,59.23,77,90,4.61,overcast clouds
685,Rosetta,EG,31.4044,30.4164,84.54,62,0,11.03,clear sky
686,Boyolangu,ID,-8.1181,111.8935,80.6,65,59,11.18,broken clouds
687,Gazanjyk,TM,39.2446,55.5154,103.46,14,3,3.33,clear sky
688,Skibbereen,IE,51.55,-9.2667,58.8,72,27,18.1,scattered clouds
689,Carballo,ES,43.213,-8.691,67.91,81,72,5.57,broken clouds
690,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.62,86,13,7.38,few clouds
691,San Policarpo,PH,12.1791,125.5072,90.18,59,100,8.46,overcast clouds
692,Muros,ES,42.7762,-9.0603,68.99,74,24,8.88,few clouds
693,Campbell River,CA,50.0163,-125.2446,65.59,73,0,4.56,clear sky
694,Alofi,NU,-19.0595,-169.9187,72.14,88,100,17.87,moderate rain
695,Oksfjord,NO,70.2396,22.3479,51.01,74,100,5.97,overcast clouds
696,Camopi,GF,3.1655,-52.3158,69.82,99,45,1.9,scattered clouds
697,Seoul,KR,37.5683,126.9778,96.19,45,56,7.05,broken clouds
698,Manuk Mangkaw,PH,4.8,119.85,84.74,79,90,16.28,overcast clouds
699,Kyrnasivka,UA,48.5955,28.979,84.09,56,75,8.86,broken clouds
700,Morondava,MG,-20.2833,44.2833,78.53,33,0,1.95,clear sky
701,Jarwal,IN,27.1667,81.55,92.05,60,77,9.37,broken clouds
702,Izumo,JP,35.3667,132.7667,82.36,71,4,7.47,clear sky
